value,label,pattern,vendors[],color
canary,Canary Yellow,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/canary.jpg,zapcables,
neone-yellow-1,Neon Yellow,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neone-yellow-1.jpg,zapcables,
golden-yellow,Golden Yellow,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/golden-yellow.jpg,zapcables,
gold-1,Gold,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/gold-1.jpg,zapcables,
marigold-1,Marigold,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/marigold-1.jpg,zapcables,
yellow-camo,Yellow Camo,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/yellow-camo.jpg,zapcables,
fast,Fast,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/fast.jpg,zapcables,
confetti,Confetti,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/confetti.jpg,zapcables,
stryper,Stryper,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/stryper.jpg,zapcables,
tropical,Tropical,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/tropical.jpg,zapcables,
light-stripes,Light Stripes,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/light-stripes.jpg,zapcables,
marines,Marines,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/marines.jpg,zapcables,
neon-yellow-diamonds,Neon Yellow Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-yellow-diamonds.jpg,zapcables,
norwich,Norwich,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/norwich.jpg,zapcables,
pink-lemonade,Pink Lemonade,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/pink-lemonade.jpg,zapcables,
purple-flash,Purple Flash,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/purple-flash.jpg,zapcables,
sunset,Sunset,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/sunset.jpg,zapcables,
neon-pink,Neon Pink,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-pink.jpg,zapcables,
rose-pink-2,Rose Pink,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/rose-pink-2.jpg,zapcables,
